ticker,quarter_end,consensus_eps,actual_eps,num_analysts,sector,market_cap
AAPL,2021-06-30,2.7145,2.8519,15,Technology,3000000000000.0
AAPL,2021-09-30,3.2624,3.2811,9,Technology,3000000000000.0
AAPL,2021-12-31,3.4136,3.6592,6,Technology,3000000000000.0
AAPL,2022-03-31,3.5218,3.4157,18,Technology,3000000000000.0
AAPL,2022-06-30,2.8777,3.0112,16,Technology,3000000000000.0
AAPL,2022-09-30,3.0752,3.0279,17,Technology,3000000000000.0
AAPL,2022-12-31,2.7097,2.668,14,Technology,3000000000000.0
AAPL,2023-03-31,2.8253,3.0167,16,Technology,3000000000000.0
AAPL,2023-06-30,3.0932,2.9744,7,Technology,3000000000000.0
AAPL,2023-09-30,2.5017,2.5435,8,Technology,3000000000000.0
AAPL,2023-12-31,3.0676,3.0221,9,Technology,3000000000000.0
AAPL,2024-03-31,3.1964,3.2187,6,Technology,3000000000000.0
AAPL,2024-06-30,2.8361,3.0054,8,Technology,3000000000000.0
AAPL,2024-09-30,3.3439,3.4697,16,Technology,3000000000000.0
AAPL,2024-12-31,2.974,3.1814,18,Technology,3000000000000.0
AAPL,2025-03-31,2.8244,2.8681,6,Technology,3000000000000.0
AAPL,2025-06-30,2.8138,2.8059,14,Technology,3000000000000.0
AAPL,2025-09-30,3.5463,3.513,17,Technology,3000000000000.0
AAPL,2025-12-31,3.2107,3.407,11,Technology,3000000000000.0
AAPL,2026-03-31,3.2463,3.2368,18,Technology,3000000000000.0
MSFT,2021-06-30,3.4113,3.4812,16,Technology,3000000000000.0
MSFT,2021-09-30,3.1339,3.0876,17,Technology,3000000000000.0
MSFT,2021-12-31,3.147,3.3463,11,Technology,3000000000000.0
MSFT,2022-03-31,3.0999,3.1335,5,Technology,3000000000000.0
MSFT,2022-06-30,3.5335,3.4237,5,Technology,3000000000000.0
MSFT,2022-09-30,3.5675,3.5154,14,Technology,3000000000000.0
MSFT,2022-12-31,3.1496,2.9973,12,Technology,3000000000000.0
MSFT,2023-03-31,3.1339,3.1563,5,Technology,3000000000000.0
MSFT,2023-06-30,3.1175,3.1957,7,Technology,3000000000000.0
MSFT,2023-09-30,3.1659,3.1259,10,Technology,3000000000000.0
MSFT,2023-12-31,3.0556,3.2274,18,Technology,3000000000000.0
MSFT,2024-03-31,3.7235,3.5501,9,Technology,3000000000000.0
MSFT,2024-06-30,3.6945,3.6977,13,Technology,3000000000000.0
MSFT,2024-09-30,3.4493,3.3505,14,Technology,3000000000000.0
MSFT,2024-12-31,3.19,3.2752,8,Technology,3000000000000.0
MSFT,2025-03-31,3.3396,3.1593,11,Technology,3000000000000.0
MSFT,2025-06-30,3.3649,3.5109,17,Technology,3000000000000.0
MSFT,2025-09-30,3.7022,3.9352,15,Technology,3000000000000.0
MSFT,2025-12-31,3.5208,3.4605,18,Technology,3000000000000.0
MSFT,2026-03-31,3.42,3.3573,10,Technology,3000000000000.0
GOOGL,2021-06-30,2.7036,2.7718,11,Technology,2000000000000.0
GOOGL,2021-09-30,2.5543,2.4201,11,Technology,2000000000000.0
GOOGL,2021-12-31,2.4553,2.4055,13,Technology,2000000000000.0
GOOGL,2022-03-31,2.738,2.6213,13,Technology,2000000000000.0
GOOGL,2022-06-30,2.2325,2.2219,18,Technology,2000000000000.0
GOOGL,2022-09-30,2.2403,2.331,7,Technology,2000000000000.0
GOOGL,2022-12-31,2.1082,2.2109,12,Technology,2000000000000.0
GOOGL,2023-03-31,2.3014,2.2378,5,Technology,2000000000000.0
GOOGL,2023-06-30,2.3905,2.4783,11,Technology,2000000000000.0
GOOGL,2023-09-30,2.4738,2.4748,5,Technology,2000000000000.0
GOOGL,2023-12-31,2.2995,2.3505,5,Technology,2000000000000.0
GOOGL,2024-03-31,2.3681,2.4577,6,Technology,2000000000000.0
GOOGL,2024-06-30,1.7462,1.7334,11,Technology,2000000000000.0
GOOGL,2024-09-30,2.9976,2.9271,15,Technology,2000000000000.0
GOOGL,2024-12-31,2.175,2.0864,9,Technology,2000000000000.0
GOOGL,2025-03-31,2.3248,2.2825,10,Technology,2000000000000.0
GOOGL,2025-06-30,2.9674,2.8484,13,Technology,2000000000000.0
GOOGL,2025-09-30,2.3068,2.3661,10,Technology,2000000000000.0
GOOGL,2025-12-31,2.6536,2.7199,8,Technology,2000000000000.0
GOOGL,2026-03-31,2.4356,2.6124,7,Technology,2000000000000.0
AMZN,2021-06-30,3.3486,3.1974,15,Consumer Discretionary,1800000000000.0
AMZN,2021-09-30,2.2763,2.3281,13,Consumer Discretionary,1800000000000.0
AMZN,2021-12-31,3.2165,3.1307,11,Consumer Discretionary,1800000000000.0
AMZN,2022-03-31,2.695,2.636,14,Consumer Discretionary,1800000000000.0
AMZN,2022-06-30,2.97,3.0729,5,Consumer Discretionary,1800000000000.0
AMZN,2022-09-30,3.001,3.1823,16,Consumer Discretionary,1800000000000.0
AMZN,2022-12-31,3.2223,3.3691,13,Consumer Discretionary,1800000000000.0
AMZN,2023-03-31,3.049,3.1147,7,Consumer Discretionary,1800000000000.0
AMZN,2023-06-30,3.1453,2.9834,8,Consumer Discretionary,1800000000000.0
AMZN,2023-09-30,3.1913,3.3886,12,Consumer Discretionary,1800000000000.0
AMZN,2023-12-31,3.3018,3.2649,18,Consumer Discretionary,1800000000000.0
AMZN,2024-03-31,3.6093,3.3998,13,Consumer Discretionary,1800000000000.0
AMZN,2024-06-30,3.7059,3.6287,13,Consumer Discretionary,1800000000000.0
AMZN,2024-09-30,3.0655,3.2111,8,Consumer Discretionary,1800000000000.0
AMZN,2024-12-31,2.9418,2.8436,12,Consumer Discretionary,1800000000000.0
AMZN,2025-03-31,2.8633,2.7299,5,Consumer Discretionary,1800000000000.0
AMZN,2025-06-30,3.1984,3.1944,10,Consumer Discretionary,1800000000000.0
AMZN,2025-09-30,2.4208,2.503,18,Consumer Discretionary,1800000000000.0
AMZN,2025-12-31,3.1579,3.1638,12,Consumer Discretionary,1800000000000.0
AMZN,2026-03-31,3.1435,3.0868,6,Consumer Discretionary,1800000000000.0
META,2021-06-30,4.482,4.658,7,Technology,1300000000000.0
META,2021-09-30,4.5668,4.5213,5,Technology,1300000000000.0
META,2021-12-31,4.0757,3.868,16,Technology,1300000000000.0
META,2022-03-31,4.0363,4.33,12,Technology,1300000000000.0
META,2022-06-30,4.6312,4.5848,16,Technology,1300000000000.0
META,2022-09-30,4.0085,3.8197,19,Technology,1300000000000.0
META,2022-12-31,3.9846,4.1181,7,Technology,1300000000000.0
META,2023-03-31,4.0285,4.2239,13,Technology,1300000000000.0
META,2023-06-30,5.0167,4.7319,18,Technology,1300000000000.0
META,2023-09-30,4.0597,4.3023,19,Technology,1300000000000.0
META,2023-12-31,4.8793,4.7202,5,Technology,1300000000000.0
META,2024-03-31,4.1936,4.4184,10,Technology,1300000000000.0
META,2024-06-30,4.1625,3.9897,7,Technology,1300000000000.0
META,2024-09-30,3.9809,4.1216,12,Technology,1300000000000.0
META,2024-12-31,4.4111,4.4101,17,Technology,1300000000000.0
META,2025-03-31,4.4649,4.6645,12,Technology,1300000000000.0
META,2025-06-30,4.9452,4.6892,11,Technology,1300000000000.0
META,2025-09-30,4.2943,4.5984,6,Technology,1300000000000.0
META,2025-12-31,4.1632,4.4525,13,Technology,1300000000000.0
META,2026-03-31,3.9459,4.1462,18,Technology,1300000000000.0
NVDA,2021-06-30,3.8074,4.0172,5,Technology,2500000000000.0
NVDA,2021-09-30,4.6913,4.4854,16,Technology,2500000000000.0
NVDA,2021-12-31,4.0726,4.3236,17,Technology,2500000000000.0
NVDA,2022-03-31,3.6159,3.7775,18,Technology,2500000000000.0
NVDA,2022-06-30,4.9539,4.8019,17,Technology,2500000000000.0
NVDA,2022-09-30,4.6348,4.3489,14,Technology,2500000000000.0
NVDA,2022-12-31,4.3296,4.4732,16,Technology,2500000000000.0
NVDA,2023-03-31,4.1058,3.9702,14,Technology,2500000000000.0
NVDA,2023-06-30,4.2553,4.3102,14,Technology,2500000000000.0
NVDA,2023-09-30,4.6753,4.4185,19,Technology,2500000000000.0
NVDA,2023-12-31,4.3819,4.2541,12,Technology,2500000000000.0
NVDA,2024-03-31,3.8987,3.6751,5,Technology,2500000000000.0
NVDA,2024-06-30,4.7414,4.7954,16,Technology,2500000000000.0
NVDA,2024-09-30,4.5098,4.4685,7,Technology,2500000000000.0
NVDA,2024-12-31,3.8574,4.0875,9,Technology,2500000000000.0
NVDA,2025-03-31,4.7028,4.7204,5,Technology,2500000000000.0
NVDA,2025-06-30,4.4894,4.7927,10,Technology,2500000000000.0
NVDA,2025-09-30,4.0851,4.0092,6,Technology,2500000000000.0
NVDA,2025-12-31,4.1822,4.1593,17,Technology,2500000000000.0
NVDA,2026-03-31,4.1786,4.3855,12,Technology,2500000000000.0
TSLA,2021-06-30,6.0989,5.8524,16,Consumer Discretionary,800000000000.0
TSLA,2021-09-30,5.9326,6.027,16,Consumer Discretionary,800000000000.0
TSLA,2021-12-31,6.0784,5.8172,16,Consumer Discretionary,800000000000.0
TSLA,2022-03-31,5.5775,5.6678,5,Consumer Discretionary,800000000000.0
TSLA,2022-06-30,5.2346,5.4056,16,Consumer Discretionary,800000000000.0
TSLA,2022-09-30,5.5953,5.9265,6,Consumer Discretionary,800000000000.0
TSLA,2022-12-31,5.6499,5.7822,14,Consumer Discretionary,800000000000.0
TSLA,2023-03-31,5.4777,5.6201,14,Consumer Discretionary,800000000000.0
TSLA,2023-06-30,5.2303,5.4116,11,Consumer Discretionary,800000000000.0
TSLA,2023-09-30,5.8058,6.1337,9,Consumer Discretionary,800000000000.0
TSLA,2023-12-31,5.5268,5.908,13,Consumer Discretionary,800000000000.0
TSLA,2024-03-31,5.9359,5.694,13,Consumer Discretionary,800000000000.0
TSLA,2024-06-30,5.1329,5.0841,7,Consumer Discretionary,800000000000.0
TSLA,2024-09-30,6.5894,6.166,8,Consumer Discretionary,800000000000.0
TSLA,2024-12-31,5.9958,6.1324,18,Consumer Discretionary,800000000000.0
TSLA,2025-03-31,5.6199,5.5717,16,Consumer Discretionary,800000000000.0
TSLA,2025-06-30,6.4365,6.215,13,Consumer Discretionary,800000000000.0
TSLA,2025-09-30,5.5211,5.6173,5,Consumer Discretionary,800000000000.0
TSLA,2025-12-31,5.9861,6.1408,15,Consumer Discretionary,800000000000.0
TSLA,2026-03-31,5.4331,5.7554,8,Consumer Discretionary,800000000000.0
JPM,2021-06-30,5.839,5.4929,8,Financials,500000000000.0
JPM,2021-09-30,5.4457,5.3903,19,Financials,500000000000.0
JPM,2021-12-31,5.6735,5.9113,9,Financials,500000000000.0
JPM,2022-03-31,6.471,6.2172,13,Financials,500000000000.0
JPM,2022-06-30,6.5197,6.1183,13,Financials,500000000000.0
JPM,2022-09-30,5.9041,5.6956,16,Financials,500000000000.0
JPM,2022-12-31,5.533,5.5909,12,Financials,500000000000.0
JPM,2023-03-31,5.2578,5.5923,6,Financials,500000000000.0
JPM,2023-06-30,5.1578,5.0997,17,Financials,500000000000.0
JPM,2023-09-30,5.4965,5.5979,8,Financials,500000000000.0
JPM,2023-12-31,5.734,5.6612,8,Financials,500000000000.0
JPM,2024-03-31,5.4225,5.5181,19,Financials,500000000000.0
JPM,2024-06-30,5.0122,4.8723,14,Financials,500000000000.0
JPM,2024-09-30,5.7799,5.4688,11,Financials,500000000000.0
JPM,2024-12-31,5.0306,5.0983,18,Financials,500000000000.0
JPM,2025-03-31,5.1092,5.4476,16,Financials,500000000000.0
JPM,2025-06-30,5.9657,5.7685,7,Financials,500000000000.0
JPM,2025-09-30,5.802,5.735,18,Financials,500000000000.0
JPM,2025-12-31,5.0936,5.4094,5,Financials,500000000000.0
JPM,2026-03-31,4.6493,4.8365,10,Financials,500000000000.0
V,2021-06-30,4.9907,5.3315,9,Financials,500000000000.0
V,2021-09-30,6.4999,6.0803,9,Financials,500000000000.0
V,2021-12-31,5.7879,6.1536,19,Financials,500000000000.0
V,2022-03-31,5.6818,5.5807,18,Financials,500000000000.0
V,2022-06-30,5.8183,5.6314,15,Financials,500000000000.0
V,2022-09-30,6.1633,6.3583,12,Financials,500000000000.0
V,2022-12-31,5.5082,5.6379,14,Financials,500000000000.0
V,2023-03-31,5.5755,5.8301,14,Financials,500000000000.0
V,2023-06-30,5.3148,5.4948,9,Financials,500000000000.0
V,2023-09-30,6.1138,5.733,15,Financials,500000000000.0
V,2023-12-31,5.843,6.0031,8,Financials,500000000000.0
V,2024-03-31,6.5564,6.4634,17,Financials,500000000000.0
V,2024-06-30,5.9303,5.8637,13,Financials,500000000000.0
V,2024-09-30,6.0255,6.0952,12,Financials,500000000000.0
V,2024-12-31,5.6643,5.9432,12,Financials,500000000000.0
V,2025-03-31,6.1043,6.2117,5,Financials,500000000000.0
V,2025-06-30,5.8992,6.0027,14,Financials,500000000000.0
V,2025-09-30,5.7981,5.8964,10,Financials,500000000000.0
V,2025-12-31,5.6128,5.9782,13,Financials,500000000000.0
V,2026-03-31,6.1955,6.2703,5,Financials,500000000000.0
UNH,2021-06-30,2.0098,1.9419,7,Healthcare,450000000000.0
UNH,2021-09-30,2.4313,2.4126,9,Healthcare,450000000000.0
UNH,2021-12-31,2.0802,2.1164,9,Healthcare,450000000000.0
UNH,2022-03-31,2.0686,2.083,18,Healthcare,450000000000.0
UNH,2022-06-30,1.5196,1.5846,5,Healthcare,450000000000.0
UNH,2022-09-30,1.5957,1.5582,6,Healthcare,450000000000.0
UNH,2022-12-31,1.629,1.5907,6,Healthcare,450000000000.0
UNH,2023-03-31,1.7421,1.748,7,Healthcare,450000000000.0
UNH,2023-06-30,2.2088,2.1929,9,Healthcare,450000000000.0
UNH,2023-09-30,1.7522,1.8594,15,Healthcare,450000000000.0
UNH,2023-12-31,1.4319,1.533,19,Healthcare,450000000000.0
UNH,2024-03-31,1.8285,1.7584,18,Healthcare,450000000000.0
