date,equity
2021-06-30,99993.25
2021-06-30,99993.25
2021-06-30,100116.29
2021-06-30,100181.09
2021-06-30,99945.54
2021-06-30,99945.54
2021-06-30,99897.61
2021-06-30,99897.61
2021-06-30,99672.47
2021-06-30,99647.9
2021-06-30,99573.91
2021-06-30,99573.91
2021-06-30,99971.09
2021-06-30,100104.21
2021-06-30,100092.2
2021-06-30,100092.2
2021-06-30,100092.2
2021-06-30,99876.39
2021-06-30,99712.79
2021-06-30,99712.79
2021-09-30,99712.79
2021-09-30,99705.98
2021-09-30,99705.98
2021-09-30,99705.98
2021-09-30,99705.98
2021-09-30,99705.98
2021-09-30,99704.13
2021-09-30,99998.85
2021-09-30,99998.85
2021-09-30,99998.85
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99862.45
2021-09-30,99952.68
2021-12-31,99952.68
2021-12-31,99952.68
2021-12-31,100055.66
2021-12-31,100055.66
2021-12-31,100055.66
2021-12-31,100080.01
2021-12-31,100404.86
2021-12-31,100373.24
2021-12-31,100373.24
2021-12-31,100373.24
2021-12-31,100373.24
2021-12-31,100647.29
2021-12-31,100647.29
2021-12-31,100807.18
2021-12-31,101215.15
2021-12-31,101215.15
2021-12-31,101215.15
2021-12-31,101222.44
2021-12-31,101250.55
2021-12-31,101350.29
2022-03-31,101350.29
2022-03-31,101350.29
2022-03-31,101304.54
2022-03-31,101376.19
2022-03-31,101376.19
2022-03-31,101535.05
2022-03-31,101535.05
2022-03-31,101485.2
2022-03-31,101416.97
2022-03-31,101390.53
2022-03-31,101436.31
2022-03-31,101436.31
2022-03-31,101528.51
2022-03-31,101468.52
2022-03-31,101468.52
2022-03-31,101468.52
2022-03-31,101468.52
2022-03-31,101626.82
2022-03-31,101626.82
2022-03-31,101626.82
2022-06-30,101626.82
2022-06-30,101626.82
2022-06-30,101626.82
2022-06-30,101626.82
2022-06-30,101626.82
2022-06-30,101626.82
2022-06-30,101906.76
2022-06-30,102186.0
2022-06-30,102186.0
2022-06-30,102455.28
2022-06-30,102455.28
2022-06-30,102396.52
2022-06-30,102433.66
2022-06-30,102357.51
2022-06-30,102357.51
2022-06-30,102639.1
2022-06-30,102639.1
2022-06-30,102509.27
2022-06-30,102795.73
2022-06-30,102795.73
2022-09-30,102795.73
2022-09-30,102795.73
2022-09-30,102795.73
2022-09-30,102795.73
2022-09-30,103000.34
2022-09-30,103339.27
2022-09-30,103474.04
2022-09-30,103474.04
2022-09-30,103474.04
2022-09-30,103431.89
2022-09-30,103431.89
2022-09-30,103390.66
2022-09-30,103390.66
2022-09-30,103390.66
2022-09-30,103390.66
2022-09-30,103390.66
2022-09-30,103382.16
2022-09-30,103382.16
2022-09-30,103278.32
2022-09-30,103278.32
2022-12-30,103278.32
2022-12-30,103407.48
2022-12-30,103342.44
2022-12-30,103342.44
2022-12-30,103342.44
2022-12-30,103377.52
2022-12-30,103377.52
2022-12-30,103376.47
2022-12-30,103376.47
2022-12-30,103533.32
2022-12-30,103533.32
2022-12-30,103533.32
2022-12-30,103492.52
2022-12-30,103492.52
2022-12-30,103907.48
2022-12-30,103910.65
2022-12-30,103910.65
2022-12-30,103945.05
2022-12-30,103763.35
2022-12-30,103763.35
2023-03-31,103893.71
2023-03-31,104100.87
2023-03-31,104332.39
2023-03-31,104332.39
2023-03-31,104332.39
2023-03-31,104588.19
2023-03-31,104588.19
2023-03-31,104806.79
2023-03-31,104534.99
2023-03-31,104534.99
2023-03-31,104568.52
2023-03-31,104810.37
2023-03-31,104898.71
2023-03-31,104927.36
2023-03-31,104927.36
2023-03-31,105333.07
2023-03-31,105264.43
2023-03-31,105264.43
2023-03-31,105264.43
2023-03-31,105106.59
2023-06-30,105168.58
2023-06-30,105168.58
2023-06-30,105434.46
2023-06-30,105434.46
